"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"347",4602,1,"title7","Conservative","Conservative","Liberal","Inmon v. Arkansas Dept of Corrections","Bowman, Pasco Middleton II","8",1983,"Reagan","Male","Republican",0.14300000667572,1933,"White","No experience","White",2001,0,0,0.0039999932050705
"348",4679,3,"title7","Conservative","Conservative","Conservative","Davis v. Town of Lake Park","Hand, William Brevard","11",1971,"Nixon","Male","Republican",0.428999990224838,1924,"White","No experience","White",2001,0,0,0.0999999940395355
"349",4679,1,"title7","Conservative","Conservative","Conservative","Davis v. Town of Lake Park","Carnes, Edward Earl","11",1992,"Bush I","Male","Republican",0.524999976158142,1950,"White","No experience","White",2001,0,0,0.195999979972839
"350",4474,3,"title7","Conservative","Conservative","Conservative","Okoye v. Univ. of Texas Houston Health","Pogue, Donald C.","5",1995,"Clinton","Male","Democrat",-0.432000011205673,1947,"White","No experience","White",2001,0,0,0.830749988555908
"351",4474,1,"title7","Conservative","Conservative","Conservative","Okoye v. Univ. of Texas Houston Health","Davis, W. Eugene","5",1983,"Reagan","Male","Republican",0.566999971866608,1936,"White","Experienced","White",2001,0,0,0.16824996471405
"352",4603,1,"title7","Conservative","Conservative","Liberal","Cardenas v. AT&T","Loken, James B.","8",1990,"Bush I","Male","Republican",0.124499998986721,1940,"White","No experience","White",2001,0,0,0.0225000008940697
"353",4603,3,"title7","Conservative","Conservative","Liberal","Cardenas v. AT&T","Battey, Richard H.","8",1985,"Reagan","Male","Republican",0.208000004291534,1929,"White","No experience","White",2001,0,0,0.0610000044107437
"354",4476,1,"title7","Liberal","Liberal","Conservative","Evans v. Houston","King, Carolyn Dineen","5",1979,"Carter","Female","Democrat",-0.103000000119209,1938,"White","No experience","White",2001,1,0,0.501749992370605
"355",4476,2,"title7","Liberal","Liberal","Conservative","Evans v. Houston","Parker, Robert Manley","5",1994,"Clinton","Male","Democrat",-0.441000014543533,1937,"White","Experienced","White",2001,1,0,0.839750051498413
"356",4475,1,"title7","Conservative","Conservative","Liberal","Oden v. Oktibbeha Cty","Politz, Henry Anthony","5",1979,"Carter","Male","Democrat",-0.11150000244379,1932,"White","No experience","White",2001,0,0,0.51025003194809
"357",4475,2,"title7","Conservative","Conservative","Liberal","Oden v. Oktibbeha Cty","Smith, Jerry Edwin","5",1987,"Reagan","Male","Republican",0.532000005245209,1946,"White","No experience","White",2001,0,0,0.133249998092651
"358",4545,3,"title7","Liberal","Liberal","Conservative","Gordon v. United Airlines","Rovner, Ilana Kara Diamond","7",1992,"Bush I","Female","Republican",0.524999976158142,1938,"White","Experienced","White",2001,1,0,0.275999963283539
"359",4545,1,"title7","Liberal","Conservative","Conservative","Gordon v. United Airlines","Easterbrook, Frank Hoover","7",1985,"Reagan","Male","Republican",0.566999971866608,1948,"White","No experience","White",2001,1,0,0.317999958992004
"360",4473,2,"title7","Liberal","Liberal","Conservative","Pratt v. City of Houston","Jones, Edith Hollan","5",1985,"Reagan","Female","Republican",0.532000005245209,1949,"White","No experience","White",2001,1,0,0.133249998092651
"361",4473,3,"title7","Liberal","Liberal","Conservative","Pratt v. City of Houston","Smith, Jerry Edwin","5",1987,"Reagan","Male","Republican",0.532000005245209,1946,"White","No experience","White",2001,1,0,0.133249998092651
"362",4440,1,"title7","Liberal","Liberal","Conservative","Smith v. Daivs","Alito, Samuel A., Jr.","3",1990,"Bush I","Male","Republican",0.524999976158142,1950,"White","No experience","White",2001,1,0,0.673749983310699
"363",4440,2,"title7","Liberal","Liberal","Conservative","Smith v. Daivs","Rendell, Marjorie O.","3",1997,"Clinton","Female","Democrat",-0.441000014543533,1947,"White","Experienced","White",2001,1,0,0.292250007390976
